 Time: 1436.79945, num_raw: 24000, num_filted: 24000
 Time: 1436.89936, num_raw: 24000, num_filted: 24000
 Time: 1436.99929, num_raw: 24000, num_filted: 24000
 Time: 1437.09963, num_raw: 24000, num_filted: 24000
 Time: 1437.19964, num_raw: 24000, num_filted: 24000
 Time: 1437.29972, num_raw: 24000, num_filted: 24000
 Time: 1437.39962, num_raw: 24000, num_filted: 24000
 Time: 1437.49966, num_raw: 24000, num_filted: 24000
 Time: 1437.59971, num_raw: 24000, num_filted: 24000
 Time: 1437.69992, num_raw: 24000, num_filted: 24000
 Time: 1437.79993, num_raw: 24000, num_filted: 24000
 Time: 1437.89988, num_raw: 24000, num_filted: 24000
 Time: 1437.99980, num_raw: 24000, num_filted: 24000
 Time: 1438.09979, num_raw: 24000, num_filted: 24000
 Time: 1438.19973, num_raw: 24000, num_filted: 24000
 Time: 1438.29957, num_raw: 24000, num_filted: 24000
 Time: 1438.39946, num_raw: 24000, num_filted: 24000
 Time: 1438.49936, num_raw: 24000, num_filted: 24000
 Time: 1438.59930, num_raw: 24000, num_filted: 24000
 Time: 1438.69965, num_raw: 24000, num_filted: 24000
 Time: 1438.79956, num_raw: 24000, num_filted: 24000
 Time: 1438.89959, num_raw: 24000, num_filted: 24000
 Time: 1438.99951, num_raw: 24000, num_filted: 24000
 Time: 1439.09942, num_raw: 24000, num_filted: 24000
 Time: 1439.19935, num_raw: 24000, num_filted: 24000
 Time: 1439.29966, num_raw: 24000, num_filted: 24000
 Time: 1439.39954, num_raw: 24000, num_filted: 24000
 Time: 1439.49942, num_raw: 24000, num_filted: 24000
 Time: 1439.59939, num_raw: 24000, num_filted: 24000
 Time: 1439.69968, num_raw: 24000, num_filted: 24000
 Time: 1439.79959, num_raw: 24000, num_filted: 24000
 Time: 1439.89947, num_raw: 24000, num_filted: 24000
 Time: 1439.99937, num_raw: 24000, num_filted: 24000
 Time: 1440.09961, num_raw: 24000, num_filted: 24000
 Time: 1440.19951, num_raw: 24000, num_filted: 24000
 Time: 1440.29935, num_raw: 24000, num_filted: 24000
 Time: 1440.39962, num_raw: 24000, num_filted: 24000
 Time: 1440.49947, num_raw: 24000, num_filted: 24000
 Time: 1440.59934, num_raw: 24000, num_filted: 24000
 Time: 1440.69928, num_raw: 24000, num_filted: 24000
 Time: 1440.79965, num_raw: 24000, num_filted: 24000
 Time: 1440.89958, num_raw: 24000, num_filted: 24000
 Time: 1440.99946, num_raw: 24000, num_filted: 24000
 Time: 1441.09935, num_raw: 24000, num_filted: 24000
 Time: 1441.19967, num_raw: 24000, num_filted: 24000
 Time: 1441.29964, num_raw: 24000, num_filted: 24000
 Time: 1441.39952, num_raw: 24000, num_filted: 24000
 Time: 1441.49939, num_raw: 24000, num_filted: 24000
 Time: 1441.59932, num_raw: 24000, num_filted: 24000
 Time: 1441.69960, num_raw: 24000, num_filted: 24000
 Time: 1441.79950, num_raw: 24000, num_filted: 24000
 Time: 1441.89934, num_raw: 24000, num_filted: 24000
 Time: 1441.99963, num_raw: 24000, num_filted: 24000
 Time: 1442.09955, num_raw: 24000, num_filted: 24000
 Time: 1442.19940, num_raw: 24000, num_filted: 24000
 Time: 1442.29964, num_raw: 24000, num_filted: 24000
 Time: 1442.39947, num_raw: 24000, num_filted: 24000
 Time: 1442.49933, num_raw: 24000, num_filted: 24000
 Time: 1442.59997, num_raw: 24000, num_filted: 24000
 Time: 1442.69980, num_raw: 24000, num_filted: 24000
 Time: 1442.79965, num_raw: 24000, num_filted: 24000
 Time: 1442.89958, num_raw: 24000, num_filted: 24000
 Time: 1442.99947, num_raw: 24000, num_filted: 24000
 Time: 1443.09941, num_raw: 24000, num_filted: 24000
 Time: 1443.19966, num_raw: 24000, num_filted: 24000
 Time: 1443.29963, num_raw: 24000, num_filted: 24000
 Time: 1443.39951, num_raw: 24000, num_filted: 24000
 Time: 1443.49938, num_raw: 24000, num_filted: 24000
 Time: 1443.59964, num_raw: 24000, num_filted: 24000
 Time: 1443.69947, num_raw: 24000, num_filted: 24000
 Time: 1443.79933, num_raw: 24000, num_filted: 24000
 Time: 1443.89963, num_raw: 24000, num_filted: 24000
